Tattag;Tatzeit/Uhrzeit;Tatort 2;Tbnr1; Geldbuße 
02.01.2014;1508;Hopfenstraße in Höhe von Haus-Nr. 6;141312; 15,00 € 
02.01.2014;1537;Hopfenstraße in Höhe von Haus-Nr. 38;141118; 15,00 € 
02.01.2014;1611;Kautzstraße / B, Ecke Hopfenstrasse;112402; 20,00 € 
02.01.2014;1626;Haagstraße / B ggü. Haus-Nr. 32;142278; 35,00 € 
02.01.2014;1329;Nordring / C2 in Höhe von Haus-Nr. 1;141166; 20,00 € 
02.01.2014;1344;Baerler Straße in Höhe von Haus-Nr. 8;113240; 10,00 € 
02.01.2014;1347;Baerler Straße in Höhe von Haus-Nr. 10;113240; 10,00 € 
02.01.2014;1358;Feldstraße / C1 in Höhe von Haus-Nr. 70;113240; 10,00 € 
02.01.2014;1932;Pferdsweide ggü. Haus-Nr. 30;141312; 15,00 € 
02.01.2014;1934;Pferdsweide ggü. Haus-Nr. 30;141312; 15,00 € 
02.01.2014;1936;Pferdsweide ggü. Haus-Nr. 30;141312; 15,00 € 
02.01.2014;1329;Nordring / C2 1;141166; 20,00 € 
02.01.2014;1336;Nordring / C2 4;141166; 20,00 € 
02.01.2014;1342;Nordring / C2, Parkplatz;113140; 10,00 € 
02.01.2014;1344;Nordring / C2, Parkplatz;113120; 10,00 € 
02.01.2014;1346;Nordring / C2, Parkplatz;113120; 10,00 € 
02.01.2014;1348;Nordring / C2, Parkplatz;113120; 10,00 € 
02.01.2014;1350;Nordring / C2, Parkplatz;113140; 10,00 € 
02.01.2014;1354;Nordring / C2, Parkplatz;112292; 10,00 € 
02.01.2014;1405;Meerstraße / B, Parkplatz;113140; 10,00 € 
02.01.2014;1336;Rheinberger Straße ggü. Haus-Nr. 9;113283; 25,00 € 
02.01.2014;937;Unterwallstraße in Höhe von Haus-Nr. 9;113300; 10,00 € 
02.01.2014;1323;Unterwallstraße in Höhe von Haus-Nr. 9;113284; 30,00 € 
02.01.2014;943;Neumarkt / A, Parkplatz;329113; 15,00 € 
02.01.2014;947;Neumarkt / A, Parkplatz;113120; 10,00 € 
02.01.2014;950;Meerstraße / B ggü. Haus-Nr. 3;113140; 10,00 € 
02.01.2014;952;Meerstraße / B ggü. Haus-Nr. 3;113120; 10,00 € 
02.01.2014;957;Neumarkt / A, Parkplatz;113140; 10,00 € 
02.01.2014;1003;Neumarkt / A, Parkplatz;113140; 10,00 € 
02.01.2014;1009;Haagstraße / B ggü. Haus-Nr. 26;113260; 10,00 € 
02.01.2014;1011;Haagstraße / B ggü. Haus-Nr. 26;113280; 10,00 € 
02.01.2014;1017;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
02.01.2014;1443;Hanckwitzstraße / B, Parkplatz;113144; 30,00 € 
02.01.2014;1022;Hanckwitzstraße / B, Parkplatz;113140; 10,00 € 
02.01.2014;1027;Filder Straße in Höhe von Haus-Nr. 10;113240; 10,00 € 
02.01.2014;1103;Abteistraße, Ecke Ürdingerstr.;142103; 10,00 € 
02.01.2014;1107;Hanns-Albeck-Platz ggü. Haus-Nr. 1;329119; 25,00 € 
02.01.2014;1110;Hanns-Albeck-Platz ggü. Haus-Nr. 1;142262; 10,00 € 
02.01.2014;1115;Haagstraße / B in Höhe von Haus-Nr. 14;141312; 15,00 € 
02.01.2014;1119;Haagstraße / B in Höhe von Haus-Nr. 18;141322; 15,00 € 
02.01.2014;1121;Haagstraße / B in Höhe von Haus-Nr. 18;141322; 15,00 € 
02.01.2014;1130;Unterwallstraße in Höhe von Haus-Nr. 9;142262; 10,00 € 
02.01.2014;933;Nordring / C2 in Höhe von Haus-Nr. 8;141166; 20,00 € 
02.01.2014;1335;Nordring / C2 in Höhe von Haus-Nr. 2;141166; 20,00 € 
02.01.2014;941;Gabelsbergerstraße in Höhe von Haus-Nr. 5;113240; 10,00 € 
02.01.2014;944;Seminarstraße in Höhe von Haus-Nr. 12;113240; 10,00 € 
02.01.2014;951;Baerler Straße in Höhe von Haus-Nr. 18;113240; 10,00 € 
02.01.2014;955;Baerler Straße in Höhe von Haus-Nr. 48;113240; 10,00 € 
02.01.2014;957;Baerler Straße in Höhe von Haus-Nr. 52;113260; 10,00 € 
02.01.2014;1006;Wittfeldstraße ggü. Haus-Nr. 17;141322; 15,00 € 
02.01.2014;1008;Wittfeldstraße in Höhe von Haus-Nr. 12;141322; 15,00 € 
02.01.2014;1010;Wittfeldstraße in Höhe von Haus-Nr. 20;141322; 15,00 € 
02.01.2014;1016;Wittfeldstraße in Höhe von Haus-Nr. 12;141322; 15,00 € 
