Ebene,Dimension,Metrik,Punkte
Metaebene,,,
,Genauigkeit,Angabe von Geodaten,1
,Genauigkeit,Anagabe Titel,4
,Genauigkeit,Angabe Beschreibung,3
,Genauigkeit,Angabe Tags,1
,Genauigkeit,Meta Validität,1
,Vollständigkeit,Gewichtete Vollständigkeit,7
,Aktualität,Updates verfügbar,"2,5"
,Aktualität,Datum verfügbar,"2,5"
,Aktualität,Alter. d. Veröffentlichung,"2,5"
,Abrufbarkeit,Rohdatenlink online,9
,Abrufbarkeit,Rohdatenlink intern/extern,1
,Offenheit,Nutzung einer offenen Lizenz,4
,Kontaktierbarkeit,Valide Autoren-Informationen,5
,Kontaktierbarkeit,Valide Verwalter-Informationen,5
,Rückverfolgbarkeit,Angabe der Datenquelle,1
Portalebene,,,
,Aktualität,Regelmäßige neue Datensätze,"2,5"
,Diversität,Durchschnitt Endpunkte,2
,Diversität,Stdver Endpunkte,1
,Diversität,Durchschnitt Dateiformate,2
,Diversität,Stdver Dateiformate,1
,Diversität,Durchschnitt Tags,2
,Diversität,Stdver Tags,1
,Diversität,Anteil einzelne Org.,"0,5"
,Diversität,Stdver Org,"0,5"
Rohdatenebene,,,
,Vollständigkeit,Rohdaten Vollständigkeit - Zellen,1
,Vollständigkeit,Rohdaten Vollständigkeit - Reihen,1
,Vollständigkeit,Rohdaten Vollständigkeit - Spalten,1
,Offenheit,Dateiformat maschinenlesbar,4
,Offenheit,Dateiformat nicht-proprietär,2
,Validität,Rohdaten lesbar,5
,Validität,Valide Rohdaten,5
