Titel,URL,Titel,URL
Geoportal der Bundesregierung,http://geoportal.de,Bundesstelle für Flugunfalluntersuchung BFU,https://www.bfu-web.de/DE/Home/homepage_node.html
GeoNet.MRN e.V.,http://daten.geonet-mrn.de,Bundesministerium für Arbeit und Soziales,https://www.bmas.de
Landkreis Mecklenburgische Seenplatte,http://geoport-lk-mse.de/geoportal/index.php,Bundesministerium des Innern,https://www.bmi.bund.de
Niedersachsen,http://geoportal.geodaten.niedersachsen.de,Bundesministerium der Verteidigung,https://www.bmvg.de/de/service/open-data
Hochwasser Nachrichtenzentrale Thüringen,http://hnz.thueringen.de/hw2.0/datenladen.html,Bundesministerium für Verkehr und digitale Infrastruktur (BMVI),https://www.bmvi.de
Hessen Mobil - Straßen- und Verkehrsmanagement,http://info.data-run.info/,Bundesministerium für Wirtschaft und Energie,https://www.bmwi.de/Redaktion/DE/Artikel/Service/open-data.html
IPM Group s.r.o,http://ipm-geonet.com/,Bottled Software GmbH,https://www.bottledsoftware.de/
RWTH Aachen Institut für Straßenwesen,http://publications.rwth-aachen.de/,Bundesstelle für Seeunfalluntersuchung (BSU),https://www.bsu-bund.de
Transparenzportal Hamburg,http://transparenz.hamburg.de/,Bundesversicherungsamt,https://www.bundesamtsozialesicherung.de/de/service/downloadcenter/
DBFZ Deutsches Biomasseforschungszentrum gemeinnützige GmbH,http://webapp.dbfz.de/resources/?lang=de,Bundesarchiv,https://www.bundesarchiv.de
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,http://www.bmz.de/de/ministerium/zahlen_fakten/index.html,Bundesministerium der Finanzen,https://www.bundesfinanzministerium.de/Datenportal/start.html
Fachstelle für Geoinformationen Süd beim WSA Regensburg (FGS),http://www.fgs.wsv.de/,Bundesamt für Justiz,https://www.bundesjustizamt.de
Unternehmensdaten-bank der Wirtschaftsförderung Sachsen,http://www.firmen.saxony.de/KWISweb-Companies/CompanyList.aspx,Die Beauftragte der Bundesregierung für Kultur und Medien,https://www.bundesregierung.de/breg-de/bundesregierung/staatsministerin-fuer-kultur-und-medien
Fisch-DB - die Fischdatenbank,http://www.fischdb.de/,Bundessortenamt,https://www.bundessortenamt.de/bsa/sorten/datenbanken/
Moritz Müller-Navarra,http://www.mforecast.com/,Bundesverwaltungsamt,https://www.bva.bund.de
Sortenliste OCED,http://www.oecd.org/agriculture/seeds/varieties/,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit,https://www.bvl.bund.de
PortalU und Umweltdaten-kataloge,http://www.portalu.sachsen.de/,Bundeszentralamt für Steuern,https://www.bzst.de/DE/Home/home_node.html
"Ministerium für Arbeit, Gesundheit und Soziales des Landes NRW",http://www.sozialberichte.nrw.de,Cyface GmbH,https://www.cyface.de/
"Thüringer Landesamt für Umwelt, Bergbau und Naturschutz",http://www.tlug-jena.de/luftaktuell/index.php,"Bundesministerium für Familie, Senioren, Frauen und Jugend",https://www.daten.bmfsfj.de/
Terra Concordia gGmbH,https://baumcloud.org/#/,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/de/index.html
Bundeslebensmittelschlüssel,https://blsdb.de/,DBI - Gastechnologisches Institut gGmbH,https://www.dbi-gti.de
DB Netz AG,https://data.deutschebahn.com,Statistisches Bundesamt,https://www.destatis.de
Berlin Open Data,https://daten.berlin.de/,Deutsches Forschungszentrum für Künstliche Intelligenz GmbH,https://www.dfki.de/web/
Open-Government-Data-Portal Rheinland-Pfalz,https://daten.rlp.de/,DFS Deutsche Flugsicherung GmbH,https://www.dfs.de/dfs_homepage/de/
Open Data Darmstadt,https://datenplattform.darmstadt.de/verkehr/apps/opendata/#/,Deutsches Klimarechenzentrum GmbH (DKRZ),https://www.dkrz.de/webvis/
Baden Württemberg,https://datentest.service-bw.de/,DTV Verkehrsconsult GmbH,https://www.dtv-verkehrsconsult.de/
EU-Sortenkataloge,https://ec.europa.eu/food/plant/plant_propagation_material,Eisenbahn-Bundesamt,https://www.eba.bund.de/
52°North - Initiative for Geospatial Open Source Software GmbH,https://envirocar.org/api/stable/,Bundesstelle für Eisenbahnunfalluntersuchung (BEU),https://www.eisenbahn-unfalluntersuchung.de
Esri Deutschland GmbH,https://esri-de.maps.arcgis.com/home/index.html,"Wasser- und Schifffahrtsdirektionen Mitte, West, Südwest, Süd und Ost Dienstsitz Mainz",https://www.elwis.de/DE/Startseite/Startseite-node.html
"OpenData Berlin: Senatsverwaltung für Umwelt, Verkehr und Klimaschutz Berlin",https://fbinter.stadt-berlin.de/,Emsland,https://www.emsland.com/service-im-emsland/partner/datenbank/
